Municipality,Municipal Status,Geographic Area,Website,Agendas Link,Livestreaming Link,Livestreaming Platform,Livestreaming Format,Open License,Non-Municipal Livestream,Non-Municipal Livestream 2
"Addington Highlands, Township of",Lower Tier,Lennox and Addington,,,,,,,,
"Adelaide-Metcalfe, Township of",Lower Tier,Middlesex,,,,,,,,
"Adjala-Tosorontio, Township of",Lower Tier,Simcoe,,,,,,,,
"Admaston/Bromley, Township of",Lower Tier,Renfrew,,,,,,,,
"Ajax, Town of",Lower Tier,Durham,,,,,,,,
"Alberton, Township of",Single Tier,Rainy River,,,,,,,,
"Alfred and Plantagenet, Township of",Lower Tier,Prescott and Russell,,,,,,,,
"Algonquin Highlands, Township of",Lower Tier,Haliburton,,,,,,,,
"Alnwick/Haldimand, Township of",Lower Tier,Northumberland,,,,,,,,
"Amaranth, Township of",Lower Tier,Dufferin,,,,,,,,
"Amherstburg, Town of",Lower Tier,Essex,,,,,,,,
"Armour, Township of",Single Tier,Parry Sound,,,,,,,,
"Armstrong, Township of",Single Tier,Timiskaming,,,,,,,,
"Arnprior, Town of",Lower Tier,Renfrew,,,,,,,,
"Arran-Elderslie, Municipality of",Lower Tier,Bruce,,,,,,,,
"Ashfield-Colborne-Wawanosh, Township of",Lower Tier,Huron,,,,,,,,
"Asphodel-Norwood, Township of",Lower Tier,Peterborough,,,,,,,,
"Assiginack, Township of",Single Tier,Manitoulin,,,,,,,,
"Athens, Township of",Lower Tier,Leeds and Grenville,,,,,,,,
"Atikokan, Town of",Single Tier,Rainy River,,,,,,,,
"Augusta, Township of",Lower Tier,Leeds and Grenville,,,,,,,,
"Aurora, Town of",Lower Tier,York,,,,,,,,
"Aylmer, Town of",Lower Tier,Elgin,,,,,,,,
"Baldwin, Township of",Single Tier,Sudbury,,,,,,,,
"Bancroft, Town of",Lower Tier,Hastings,,,,,,,,
"Barrie, City of",Single Tier,Simcoe,,,,,,,,
"Bayham, Municipality of",Lower Tier,Elgin,,,,,,,,
"Beckwith, Township of",Lower Tier,Lanark,,,,,,,,
"Belleville, City of",Single Tier,Hastings,,,,,,,,
"Billings, Township of",Single Tier,Manitoulin,,,,,,,,
"Black River-Matheson, Township of",Single Tier,Cochrane,,,,,,,,
"Blandford-Blenheim, Township of",Lower Tier,Oxford,,,,,,,,
"Blind River, Town of",Single Tier,Algoma,,,,,,,,
"Bluewater, Municipality of",Lower Tier,Huron,,,,,,,,
"Bonfield, Township of",Single Tier,Nipissing,,,,,,,,
"Bonnechere Valley, Township of",Lower Tier,Renfrew,,,,,,,,
"Bracebridge, Town of",Lower Tier,Muskoka,,,,,,,,
"Bradford West Gwillimbury, Town of",Lower Tier,Simcoe,,,,,,,,
"Brampton, City of",Lower Tier,Peel,,,,,,,,
"Brant, County of",Single Tier,Brant,,,,,,,,
"Brantford, City of",Single Tier,Brant,,,,,,,,
"Brethour, Township of",Single Tier,Timiskaming,,,,,,,,
"Brighton, Municipality of",Lower Tier,Northumberland,,,,,,,,
"Brock, Township of",Lower Tier,Durham,,,,,,,,
"Brockton, Municipality of",Lower Tier,Bruce,,,,,,,,
"Brockville, City of",Single Tier,Leeds and Grenville,,,,,,,,
"Brooke-Alvinston, Municipality of",Lower Tier,Lambton,,,,,,,,
"Bruce Mines, Town of",Single Tier,Algoma,,,,,,,,
"Bruce, County of",Upper Tier,Bruce,,,,,,,,
"Brudenell, Lyndoch and Raglan, Township of",Lower Tier,Renfrew,,,,,,,,
"Burk's Falls, Village of",Single Tier,Parry Sound,,,,,,,,
"Burlington, City of",Lower Tier,Halton,,,,,,,,
"Burpee and Mills, Township of",Single Tier,Manitoulin,,,,,,,,
"Caledon, Town of",Lower Tier,Peel,,,,,,,,
"Callander, Municipality of",Single Tier,Parry Sound,,,,,,,,
"Calvin, Municipality of",Single Tier,Nipissing,,,,,,,,
"Cambridge, City of",Lower Tier,Waterloo,,,,,,,,
"Carleton Place, Town of",Lower Tier,Lanark,,,,,,,,
"Carling, Township of",Single Tier,Parry Sound,,,,,,,,
"Carlow/Mayo, Township of",Lower Tier,Hastings,,,,,,,,
"Casey, Township of",Single Tier,Timiskaming,,,,,,,,
"Casselman, Village of",Lower Tier,Prescott and Russell,,,,,,,,
"Cavan Monaghan, Township of",Lower Tier,Peterborough,,,,,,,,
"Central Elgin, Municipality of",Lower Tier,Elgin,,,,,,,,
"Central Frontenac, Township of",Lower Tier,Frontenac,,,,,,,,
"Central Huron, Municipality of",Lower Tier,Huron,,,,,,,,
"Central Manitoulin, Municipality of",Single Tier,Manitoulin,,,,,,,,
